Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"680,985",5.1%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"637,959",11.0%,"1,556,000","Seattle, Washington"
3,UnitedHealth Group,Healthcare,"400,278",7.7%,"400,000","Minnetonka, Minnesota"
4,Apple,Electronics industry,"391,035",2.0%,"164,000","Cupertino, California"
5,CVS Health,Healthcare,"372,809",4.2%,"259,500","Woonsocket, Rhode Island"
6,Berkshire Hathaway,Conglomerate,"371,433",1.9%,"392,400","Omaha, Nebraska"
7,Alphabet,Technology and cloud computing,"350,018",13.9%,"183,323","Mountain View, California"
8,ExxonMobil,Petroleum industry,"349,595",1.5%,"60,900","Spring, Texas"
9,McKesson Corporation,Health,"308,951",11.7%,"48,000","Irving, Texas"
10,Cencora,Pharmacy wholesale,"293,959",12.1%,"44,000","Conshohocken, Pennsylvania"
11,JPMorgan Chase,Financial services,"278,906",16.5%,"317,233","New York City, New York"
12,Costco,Retail,"254,453",5.0%,"333,000","Issaquah, Washington"
13,Cigna,Health insurance,"247,121",26.6%,"72,398","Bloomfield, Connecticut"
14,Microsoft,Technology and cloud computing,"245,122",15.7%,"228,000","Redmond, Washington"
15,Cardinal Health,Healthcare,"226,827",10.6%,"48,411","Dublin, Ohio"
16,Chevron Corporation,Petroleum industry,"202,792",0.9%,"45,298","Houston, Texas"
17,Bank of America,Financials,"184,992",11.9%,"213,193","Charlotte, North Carolina"
18,General Motors,Automotive industry,"187,442",9.1%,"162,000","Detroit, Michigan"
19,Ford Motor Company,Automotive industry,"184,992",5.0%,"171,000","Dearborn, Michigan"
20,Elevance Health,Healthcare,"177,011",3.3%,"103,679","Indianapolis, Indiana"
21,Citigroup,Financials,"170,757",8.9%,"227,855","New York City, New York"
22,Meta Platforms,Technology,"164,501",21.9%,"74,067","Menlo Park, California"
23,Centene,Healthcare,"163,071",5.9%,"60,500","St. Louis, Missouri"
24,The Home Depot,Retail,"159,514",4.5%,"470,100","Atlanta, Georgia"
25,Fannie Mae,Financials,"152,670",8.1%,"8,200","Washington, D.C."
26,Walgreens Boots Alliance,Pharmaceutical industry,"147,658",6.2%,"252,500","Deerfield, Illinois"
27,Kroger,Retail,"147,123",-1.9%,"409,000","Cincinnati, Ohio"
28,Phillips 66,Petroleum industry,"145,496",-2.9%,"13,200","Houston, Texas"
29,Marathon Petroleum,Petroleum industry,"140,412",-6.6%,"18,300","Findlay, Ohio"
30,Verizon Communications,Telecommunications,"134,788",0.6%,"99,600","New York City, New York"
